,Provincia,Partido,Localidad,ADSL,Cablemódem,Dial Up,Fibra óptica,4G,3G,Telefonía Fija,Wireless,Satelital
2535,ENTRE RIOS,Concordia,VILLA ZORRAQUIN,--,--,--,--,SI,SI,--,--,--
2536,BUENOS AIRES,Tres De Febrero,11 De Septiembre,SI,SI,--,SI,SI,SI,SI,--,SI
2537,BUENOS AIRES,Tres De Febrero,Caseros,SI,SI,--,SI,SI,SI,SI,SI,--
2538,BUENOS AIRES,Tres De Febrero,Churruca,SI,SI,--,SI,SI,SI,SI,--,--
2539,BUENOS AIRES,Tres De Febrero,Ciudad Jardín Lomas del Palomar,SI,SI,--,SI,SI,SI,SI,--,--
2540,BUENOS AIRES,Tres De Febrero,Ciudadela,SI,SI,SI,SI,SI,SI,SI,SI,SI
2541,BUENOS AIRES,Tres De Febrero,El Libertador,SI,SI,--,--,SI,SI,SI,--,--
2542,BUENOS AIRES,Tres De Febrero,Jose Ingenieros,SI,SI,--,SI,SI,SI,SI,SI,--
2543,CORDOBA,San Javier,El Pueblito,--,--,--,--,--,--,--,--,--
2544,CORDOBA,San Javier,El Valle,--,--,--,--,--,--,--,--,--
2545,CORDOBA,San Javier,La Paz,--,--,--,--,SI,SI,SI,SI,SI
2546,CORDOBA,San Javier,La Población,--,--,--,--,--,--,--,SI,--
2547,CORDOBA,San Javier,La Ramada,--,--,--,--,--,--,--,SI,--
2548,CORDOBA,San Javier,La Travesía,--,--,--,--,--,--,--,SI,--
2549,CORDOBA,San Javier,Las Chacras,--,--,--,SI,--,--,--,--,--
2550,CORDOBA,San Javier,Las Tapias,--,--,--,--,SI,SI,--,SI,--
2551,CORDOBA,San Javier,Loma Bola,--,--,--,--,--,--,--,SI,--
2552,CORDOBA,San Javier,Los Cerrillos,--,--,--,--,SI,SI,SI,SI,--
2553,CORDOBA,San Javier,Los Hornillos,SI,--,--,--,SI,SI,SI,SI,--
2554,CORDOBA,San Javier,Los Molles,--,--,--,--,--,--,--,SI,--
2555,CORDOBA,San Javier,Los Romeros,--,--,--,--,--,--,--,SI,--
2556,CORDOBA,San Javier,Luyaba,--,--,--,--,SI,--,SI,SI,--
2557,CORDOBA,San Javier,Quebracho Ladeado,--,--,--,--,--,--,--,SI,--
2558,CORDOBA,San Javier,Quebrada de los Pozos,--,--,--,--,--,--,--,SI,SI
2559,CORDOBA,San Javier,San Javier y Yacanto,--,--,--,--,SI,SI,SI,SI,--
2560,CORDOBA,San Javier,San José,--,--,--,--,SI,SI,SI,SI,--
2561,LA RIOJA,Chilecito,Colonia Anguinán,--,SI,--,SI,--,--,SI,SI,--
2562,LA RIOJA,Chilecito,Colonia Catinzaco,--,--,--,--,--,--,--,--,--
2563,LA RIOJA,Chilecito,Colonia Malligasta,--,--,--,--,--,--,--,--,--
2564,LA RIOJA,Chilecito,Colonia Vichigasta,--,--,--,--,--,--,--,--,SI
2565,LA RIOJA,Chilecito,Guanchín,--,--,--,--,--,--,--,SI,--
2566,LA RIOJA,Chilecito,La Puntilla,--,--,--,--,--,--,--,--,--
2567,LA RIOJA,Chilecito,Los Sarmientos,--,--,--,--,SI,--,--,--,--
2568,LA RIOJA,Chilecito,Malligasta,--,--,--,--,--,--,SI,SI,--
2569,LA RIOJA,Chilecito,Miranda,--,--,--,--,--,--,SI,--,--
2570,LA RIOJA,Chilecito,Nonogasta,SI,SI,--,SI,SI,SI,SI,SI,SI
2571,LA RIOJA,Chilecito,San Miguel,--,--,--,--,--,--,--,--,--
2572,LA RIOJA,Chilecito,San Nicolás,--,--,--,--,--,--,--,SI,--
2573,LA RIOJA,Chilecito,Santa Florentina,--,--,--,--,--,--,--,SI,--
2574,LA RIOJA,Chilecito,Sañogasta,--,--,--,--,SI,SI,SI,SI,--
2575,LA RIOJA,Chilecito,Tilimuqui,--,--,--,--,--,--,--,SI,--
2576,LA RIOJA,Chilecito,Vichigasta,SI,--,--,SI,SI,SI,SI,SI,SI
2577,LA RIOJA,Coronel Felipe Varela,Aicuña,--,--,--,--,--,--,--,SI,--
2578,LA RIOJA,Coronel Felipe Varela,Guandacol,--,SI,--,SI,SI,--,SI,--,SI
2579,LA RIOJA,Coronel Felipe Varela,Los Palacios,--,--,--,--,SI,--,--,SI,--
2580,NEUQUEN,Zapala,Mariano Moreno,SI,--,SI,--,--,--,SI,SI,SI
2581,NEUQUEN,Zapala,Ramon M. Castro,--,--,--,--,SI,--,--,--,--
2582,NEUQUEN,Zapala,Zapala,SI,--,SI,SI,SI,SI,SI,SI,SI
2583,RIO NEGRO,25 de Mayo,Aguada de Guerra,--,--,--,--,--,--,--,SI,--
2584,RIO NEGRO,25 de Mayo,Clemente Onelli,--,--,--,SI,--,--,--,--,--
2585,RIO NEGRO,25 de Mayo,Colan Conhue,--,--,--,--,--,--,SI,--,SI
2586,RIO NEGRO,25 de Mayo,El Caín,--,--,--,--,--,--,SI,--,SI
2587,RIO NEGRO,25 de Mayo,Ingeniero Jacobacci,SI,--,SI,SI,SI,SI,SI,SI,SI
2588,RIO NEGRO,25 de Mayo,Los Menucos,--,--,--,--,SI,--,--,SI,SI
2589,RIO NEGRO,25 de Mayo,Maquinchao,--,--,--,--,SI,--,SI,SI,SI
2590,RIO NEGRO,25 de Mayo,Mina Santa Teresita,--,--,--,--,--,--,--,--,--
2591,RIO NEGRO,25 de Mayo,Pilquiniyeu,--,--,--,--,--,--,--,--,SI
2592,RIO NEGRO,9 de Julio,Comicó,--,--,--,--,--,--,--,--,SI
2593,RIO NEGRO,9 de Julio,Cona Niyeu,--,--,--,--,--,--,SI,--,SI
2594,RIO NEGRO,9 de Julio,Ministro Ramos Mexía,--,--,--,SI,--,--,--,SI,SI
2595,RIO NEGRO,9 de Julio,Prahuaniyeu,--,--,--,--,--,--,SI,--,SI
2596,RIO NEGRO,9 de Julio,Sierra Colorada,--,--,--,SI,SI,--,--,SI,SI
2597,RIO NEGRO,9 de Julio,Treneta,--,--,--,--,--,--,--,SI,--
2598,RIO NEGRO,9 de Julio,Yaminué,--,--,--,--,--,--,--,SI,--
2599,RIO NEGRO,Adolfo Alsina,Bahía Creek,--,--,--,--,--,--,--,--,--
2600,RIO NEGRO,Adolfo Alsina,El Cóndor,--,--,--,--,SI,SI,SI,SI,--
2601,RIO NEGRO,Adolfo Alsina,El Juncal,--,--,--,--,--,--,--,--,--
2602,RIO NEGRO,Adolfo Alsina,Guardia Mitre,--,--,--,--,SI,--,SI,SI,SI
2603,RIO NEGRO,Adolfo Alsina,La Lobería,--,--,--,--,--,--,--,--,--
2604,RIO NEGRO,Adolfo Alsina,Loteo Costa de Río,--,--,--,--,--,--,--,--,--
2605,RIO NEGRO,Adolfo Alsina,Pozo Salado,--,--,--,--,--,--,--,--,--
2606,RIO NEGRO,Adolfo Alsina,San Javier,--,--,--,--,--,--,SI,SI,SI
2607,RIO NEGRO,Adolfo Alsina,Viedma,SI,SI,SI,SI,SI,SI,SI,SI,SI
2608,RIO NEGRO,Avellaneda,Barrio Unión,--,--,--,--,--,--,--,--,--
2609,RIO NEGRO,Avellaneda,Chelforó,--,--,--,--,--,--,--,--,--
2610,RIO NEGRO,Avellaneda,Chimpay,--,--,--,SI,SI,SI,--,--,SI
2611,RIO NEGRO,Avellaneda,Choele Choel,SI,SI,SI,SI,SI,SI,SI,SI,SI
2612,RIO NEGRO,Avellaneda,Coronel Belisle,--,--,--,SI,SI,SI,SI,SI,SI
2613,SAN LUIS,Ayacucho,Quines,--,--,--,--,SI,--,--,SI,SI
2614,SAN LUIS,Ayacucho,Río Juan Gómez,--,--,--,--,--,--,--,SI,--
2615,SAN LUIS,Ayacucho,Rodeo De Cadenas,--,--,--,--,--,--,--,--,--
2616,SAN LUIS,Ayacucho,San Francisco del Monte de Oro,--,--,--,--,SI,--,SI,SI,--
2617,SAN LUIS,Ayacucho,San Ignacio,--,--,--,--,--,--,--,--,--
2618,SAN LUIS,Ayacucho,San Miguel,--,--,--,--,--,--,--,--,SI
